url,title,author,rating,story
https://sclibrary.bibliocommons.com/v2/record/S146C1951723,Children of Blood and Bone,"Adeyemi, Tomi",4.1,"Seventeen-year-old Zélie, her older brother Tzain, and rogue princess Amari fight to restore magic to the land and activate a new generation of magi, but they are ruthlessly pursued by the crown prince, who believes the return of magic will mean the end of the monarchy"
https://sclibrary.bibliocommons.com/v2/record/S146C1934887,The Hazel Wood,"Albert, Melissa",3.7,"Seventeen-year-old Alice and her mother have spent most of Alice's life on the road, always a step ahead of the uncanny bad luck biting at their heels. But when Alice's grandmother, the reclusive author of a cult-classic book of pitch-dark fairy tales, dies alone on her estate, the Hazel Wood, Alice learns how bad her luck…"
https://sclibrary.bibliocommons.com/v2/record/S146C1791773,Simon Vs. the Homo Sapiens Agenda,"Albertalli, Becky",4.3,"""Sixteen-year-old, not-so-openly-gay Simon Spier is blackmailed into playing wingman for his classmate or else his sexual identity--and that of his pen pal--will be revealed""--"
https://sclibrary.bibliocommons.com/v2/record/S146C1474578,The Absolutely True Diary of a Part-time Indian,"Alexie, Sherman, 1966",4.2,Budding cartoonist Junior leaves his troubled school on the Spokane Indian Reservation to attend an all-white farm town school where the only other Indian is the school mascot
https://sclibrary.bibliocommons.com/v2/record/S146C1946695,Saints and Misfits,"Ali, S. K.",3.9,"Fifteen-year-old Janna Yusuf, a Flannery O'Connor-obsessed book nerd and the daughter of the only divorced mother at their mosque, tries to make sense of the events that follow when her best friend's cousin--a holy star in the Muslim community--attempts to assault her at the end of sophomore year"
https://sclibrary.bibliocommons.com/v2/record/S146C1454261,American Born Chinese,"Yang, Gene Lue",3.9,Alternates three interrelated stories about the problems of young Chinese Americans trying to participate in the popular culture. Presented in comic book format
https://sclibrary.bibliocommons.com/v2/record/S146C1478753,Thirteen Reasons Why,"Asher, Jay, 1975",4.1,"When high school student Clay Jenkins receives a box in the mail containing thirteen cassette tapes recorded by his classmate Hannah, who committed suicide, he spends a bewildering and heartbreaking night crisscrossing their town, listening to Hannah's voice recounting the events leading up to her death"
https://sclibrary.bibliocommons.com/v2/record/S146C1763884,Six of Crows,"Bardugo, Leigh",4.4,Ketterdam: a bustling hub of international trade where anything can be had for the right price -- and no one knows that better than criminal prodigy Kaz Brekker. Kaz is offered a chance at a deadly heist that could make him rich beyond his wildest dreams. But he can't pull it off alone...  A convict with a thirst for…
https://sclibrary.bibliocommons.com/v2/record/S146C1562003,Anna Dressed in Blood,"Blake, Kendar",4 o,"For three years, seventeen-year-old Cas Lowood has carried on his father's work of dispatching the murderous dead, traveling with his kitchen-witch mother and their spirit-sniffing cat, but everything changes when he meets Anna, a girl unlike any ghost he has faced before"
https://sclibrary.bibliocommons.com/v2/record/S146C1882238,A Study in Charlotte,"Cavallaro, Brittany",3.8,"Sherlock Holmes and Dr. Watson descendants, Charlotte and Jamie, students at a Connecticut boarding school, team up to solve a murder mystery"
https://sclibrary.bibliocommons.com/v2/record/S146C1956827,Emergency Contact,"Choi, Mary H. K.",3.8,"""After a chance encounter, Penny and Sam become each other's emergency contacts and find themselves falling in love digitally, without the humiliating weirdness of having to see each other""--"
https://sclibrary.bibliocommons.com/v2/record/S146C1951739,The Belles,"Clayton, Dhonielle",3.7,"""In a world where Beauty is a commodity only a few control, one Belle will learn the dark secrets behind her powers, and rise up to change the world""--In the opulent world of Orléans, Belles are revered, for they control Beauty, and Beauty is a commodity coveted above all else. Camellia Beauregard wants to be the Belle…"
https://sclibrary.bibliocommons.com/v2/record/S146C1512258,If I Stay,"Forman, Gayl",4 o,"While in a coma following an automobile accident that killed her parents and younger brother, seventeen-year-old Mia, a gifted cellist, weights whether to live with her grief or join her family in death"
https://sclibrary.bibliocommons.com/v2/record/S146C1883586,Caraval,"Garber, Stephanie",4.1,"""Scarlett has never left the tiny island where she and her beloved sister, Tella, live with their ruthless father. Now Scarlett's father has arranged a marriage for her, and Scarlett thinks her dreams of seeing Caraval, the legendary, once-a-year performance where the audience participates in the show, are over. But this…"
https://sclibrary.bibliocommons.com/v2/record/S146C1946691,I Believe in a Thing Called Love,"Goo, Maurene",4.1,"A disaster in romance, high school senior Desi Lee decides to tackle her flirting failures by watching Korean television dramas, where the hapless heroine always seems to end up in the arms of her true love by episode ten. It's a simple formula, and Desi is a quick study. She goes after moody artist Luca Drakos-- utilizing…"
https://sclibrary.bibliocommons.com/v2/record/S146C1934871,Invictus,"Graudin, Ryan",3.8,"""A group of time-traveling teens races through history to try to stop time and the multiverse from unraveling""--Farway Gaius McCarthy is the son of a time traveler from 2354 AD and a gladiator living in ancient Rome. His very existence defies the laws of nature. All he's ever wanted was to explore history for himself, but…"
https://sclibrary.bibliocommons.com/v2/record/S146C1497621,Paper Towns,"Green, John, 1977",3.9,"One month before graduating from his Central Florida high school, Quentin ""Q"" Jacobsen basks in the predictable boringness of his life until the beautiful and exciting Margo Roth Spiegelman, Q's neighbor and classmate, takes him on a midnight adventure and then mysteriously disappears"
https://sclibrary.bibliocommons.com/v2/record/S146C1934832,We Are Okay,"LaCour, Nina",4 o,"""After picking up and leaving everything behind in California, eighteen-year-old Marin, with the help of her former friend, must confront her grief and the truths that caused her to flee her home""--Marin has picked up and left everything behind in California, carrying only her phone, her wallet, and a picture of her mother.…"
https://sclibrary.bibliocommons.com/v2/record/S146C1960699,To Kill a Mockingbird,"Lee, Harpe",4.3,"A lawyer's advice to his children as he defends the real mockingbird of Harper Lee's classic novel--a black man charged with the rape of a white girl. Through the young eyes of Scout and Jem Finch, Harper Lee explores with rich humor and unswerving honesty the irrationality of adult attitudes toward race and class in the…"
https://sclibrary.bibliocommons.com/v2/record/S146C1636795,We Were Liars,"Lockhart, ",3.8,"Spending the summers on her family's private island off the coast of Massachusetts with her cousins and a special boy named Gat, teenaged Cadence struggles to remember what happened during her fifteenth summer"
https://sclibrary.bibliocommons.com/v2/record/S146C1934920,Warcross,"Lu, Marie, 1984",4.2,"""When teenage coder Emika Chen hacks her way into the opening tournament of the Warcross Championships, she glitches herself into the game as well as a sinister plot with major consequences for the entire Warcross empire""--"
https://sclibrary.bibliocommons.com/v2/record/S146C1934685,One of Us Is Lying,"McManus, Karen M.",4.1,"""When the creator of a high school gossip app mysteriously dies in front of four high-profile students, all four become suspects. It's up to them to solve the case""--"
https://sclibrary.bibliocommons.com/v2/record/S146C1932965,When Dimple Met Rishi,"Menon, Sandhya",3.9,"When Dimple Shah and Rishi Patel meet at a Stanford University summer program, Dimple is avoiding her parents' obsession with ""marriage prospects"" but Rishi hopes to woo her into accepting arranged marriage with him"
https://sclibrary.bibliocommons.com/v2/record/S146C1951720,The Astonishing Color of After,"Pan, Emily X. R.",4.1,"After her mother's suicide, grief-stricken Leigh Sanders travels to Taiwan to stay with grandparents she never met, determined to find her mother who she believes turned into a bird"
https://sclibrary.bibliocommons.com/v2/record/S146C1947423,Nyxia,"Reintgen, Scott",4.1,"Emmett accepts an interstellar space contract but learns en route that to win the promised fortune he and nine other recruits face a brutal competition, putting their very humanity at riskThe number of zeroes on the Babel Corporation's contract has Emmett Atwater boarding their lightship and hoping to return to Earth with…"
